id,created_at,text,rt_count,fav_count
1445802189281169412,2021-10-06 17:24:38+00:00,Republican obstruction on the debt limit is putting the savings and pocketbooks of Americans on the line. Senate Republicans need to get out of the way.   Read more from my advisors: https://t.co/1b1A398wxJ,1293,5181
1445728444382257159,2021-10-06 12:31:36+00:00,The 21st century economy is changing incredibly quickly. We need the Bipartisan Infrastructure Deal and my Build Back Better Agenda to compete and to win. https://t.co/RgtBZY5bO7,1778,8912
1445533529983504388,2021-10-05 23:37:04+00:00,"My Build Back Better Agenda and the Bipartisan Infrastructure Deal — together — are going to create more than 4 million new jobs a year. Good-paying, union jobs like the ones that the folks here at the union training facility in Howell, Michigan are preparing for. https://t.co/7qJqtIjc0j",2282,12745
1445510979530330128,2021-10-05 22:07:28+00:00,We’re facing a relentless attack on the sacred right to vote across the country — and we need to act. I am glad to see the John Lewis Voting Rights Advancement Act introduced in the Senate to ensure every American can make their voice heard at the ballot box. I urge its passage.,8361,44384
1445495455400427532,2021-10-05 21:05:47+00:00,I ran on my Build Back Better Agenda. I said it was time to build an economy that looks out from Scranton — instead of looking down from Wall Street.  It’s what 81 million Americans — the most votes in history — were supporting when they supported me.  Now it’s time to deliver.,5731,33400
1445482292227371010,2021-10-05 20:13:28+00:00,The Bipartisan Infrastructure Deal and my Build Back Better Agenda are not about moderate versus progressive.  These bills are about competitiveness versus complacency. Opportunity versus decay.  They’re about leading the world — or continuing to let the world pass us by.,3146,15686
1445475258903904269,2021-10-05 19:45:32+00:00,The work of our time is to prepare ourselves to be competitive — and to win — in the fast-changing 21st century global economy.  That’s why we need the Bipartisan Infrastructure Deal and my Build Back Better Agenda.,2111,11647
1445469977813811206,2021-10-05 19:24:32+00:00,Tune in as I deliver remarks on the need for the Bipartisan Infrastructure Deal and my Build Back Better Agenda. https://t.co/QlBDZpKePL,920,4526
1445408254947991559,2021-10-05 15:19:17+00:00,I’m heading to Michigan today to visit a union training facility and discuss the need for the Bipartisan Infrastructure Deal and my Build Back Better Agenda. This is our moment to grow our economy and make our country more competitive by investing in working families.,4113,27983
1445184518609154049,2021-10-05 00:30:14+00:00,Not only are Republicans refusing to do their job. They are threatening to use their power to prevent us from doing our job. https://t.co/j4H0Uwkh1F,3276,12893
1445171582993944579,2021-10-04 23:38:50+00:00,"Republicans in Congress raised the debt limit three times when Donald Trump was President — each time with Democratic support.  But now they won’t raise it, even though they are responsible for it. https://t.co/oEi2Bvklvb",3845,14018
1445127814559240205,2021-10-04 20:44:54+00:00,"To the American people, I say this: As soon as this week, your savings and your pocketbook could be directly impacted by this Republican stunt to block us from raising the debt limit.   It’s flat-out dangerous. They need to stop playing Russian roulette with the U.S. economy.",4606,22409
1445101373809365006,2021-10-04 18:59:50+00:00,"The reason we have to raise the debt limit is—in part—because of the reckless tax and spend policies of the last Administration. They incurred nearly $8 trillion in bills that we have to pay off.  Now, Republicans won’t vote to raise the debt limit to cover their own spending. https://t.co/9Yf5EcWqm5",6124,20268
1445075460572987393,2021-10-04 17:16:52+00:00,"Not only are Republicans refusing to do their job to raise the debt ceiling.   They are threatening to use their power to prevent us from doing our job — saving the economy from a catastrophic event.   It’s hypocritical, dangerous, and disgraceful.",6410,29686
1445052371781001220,2021-10-04 15:45:07+00:00,"Tune in as I deliver remarks on the need to raise the debt ceiling, after Republicans voted last week to default. https://t.co/dCKfZVyZVI",1294,6727
1445020443744870401,2021-10-04 13:38:15+00:00,"The fact of the matter is my Build Back Better Agenda costs $0 — and it won’t raise taxes on anyone making under $400,000 a year. We’re going to pay for it by ensuring those at the top and big corporations pay their fair share.",11363,64720
1444739025923936269,2021-10-03 19:00:00+00:00,A historic tax cut for the middle class.  Lower everyday costs for hardworking Americans. An economy that gives everyone a fair shot to get ahead – not just the wealthy.   That’s my Build Back Better Agenda.,5803,34817
1444705597241368578,2021-10-03 16:47:10+00:00,"Those at the top have been getting a free ride at the expense of the middle class for far too long. With my Build Back Better Agenda, we’re going to change that.",8607,58619
1444672217263099914,2021-10-03 14:34:31+00:00,I stopped by the congressional baseball game this week to see some friends. They don’t let former Senators play – but I think I still have a few home runs in me. https://t.co/onQdCV2Bqq,2617,24082
1444464730572263426,2021-10-03 00:50:03+00:00,"Today, we mark another grim and heartbreaking milestone in this pandemic: over 700,000 Americans lost. As we acknowledge the tragic scale of this death toll, we must remember each person and the life they lived.",7421,49496
1444424556706471948,2021-10-02 22:10:25+00:00,I’ve been working around the clock to pass my Build Back Better Agenda and the Bipartisan Infrastructure Deal. It’s the platform I was elected on – and I intend to deliver it for the American people. https://t.co/oTbQfaEzCY,4058,23660
1444358388981411848,2021-10-02 17:47:29+00:00,"During National Domestic Violence Awareness and Prevention Month, we come together to reaffirm our commitment to ending domestic violence and supporting survivors. We must work to strengthen VAWA and create a society where all people can thrive without fear of violence or abuse.",3694,20906
1444309822137151488,2021-10-02 14:34:30+00:00,"My Build Back Better Agenda and the Bipartisan Infrastructure Deal will spur economic growth – creating and supporting 4 million jobs a year.   As we continue our economic recovery, we can’t afford not to seize this opportunity.",4138,26068
1444116192709447680,2021-10-02 01:45:05+00:00,"My Build Back Better Agenda and Bipartisan Infrastructure Deal are going to make a huge difference for the American people. Together, we’re going to get this done. https://t.co/wZJ1oBj28S",2469,15104
1444084921497231360,2021-10-01 23:40:49+00:00,"This week, I’ve been working closely with leaders in Congress to pass my Build Back Better Agenda and Bipartisan Infrastructure Deal. This is what we were elected to do and we will get it done. https://t.co/weOTcyW6M6",4336,32973
1444067763929112578,2021-10-01 22:32:39+00:00,We are going to deliver for the American people. https://t.co/w5lBtYCUoq,2554,16865
1444020390204948486,2021-10-01 19:24:24+00:00,"Four years ago today, 60 lives were cut short — and countless more were forever changed — in a mass shooting in Las Vegas. Today we remember those lost and reaffirm our commitment to reducing gun violence across the country.",5507,39060
1443955117271695396,2021-10-01 15:05:02+00:00,"Happy 97th Birthday to my dear friend, President Jimmy Carter. A humble servant of God. A beacon of light and moral clarity. A leader of extraordinary character, honor, and integrity. @FLOTUS and I send our love to you and Rosalynn on this special day. https://t.co/LB0gSvHSNC",7721,67096
1443944653661818881,2021-10-01 14:23:27+00:00,Let me be clear: No hardworking American should be paying more in taxes than entire tech or oil companies. It’s long past time corporations pay their fair share.,4997,31421
1443727232854372353,2021-09-30 23:59:30+00:00,"Tonight I signed the continuing resolution to fund our government through December. It funds critical needs like our COVID-19 response, resettling our Afghan allies, and disaster assistance — and gives us more time to pass longer-term funding and deliver for the American people. https://t.co/sUCtKugVto",3923,28203
1443658793229881350,2021-09-30 19:27:32+00:00,"Here's the deal: unlike my predecessor's tax plan, every penny of my Build Back Better Agenda is paid for. https://t.co/T1urUTbYdb",16373,75991
1443592474899877888,2021-09-30 15:04:01+00:00,"As National Recovery Month comes to a close, I want to celebrate everyone who’s in recovery. To those not yet in recovery — and their loved ones — know you are not alone. This is personal to me — and I promise you there is hope. https://t.co/cdsCVksdf8",2422,13404
1443358201202814977,2021-09-29 23:33:06+00:00,My Build Back Better Agenda and the Bipartisan Infrastructure Deal are overwhelmingly supported by the American people. We are working to get this done. https://t.co/p5lcLcTHgV,3726,22159
1443299126125420550,2021-09-29 19:38:21+00:00,"It’s time we build an economy where everyone has a fair shot to get ahead — not just those at the top. With my Build Back Better Agenda, we’re going to level the playing field and lower costs on everything from health care to housing.",4612,30803
1442949613971935233,2021-09-28 20:29:31+00:00,"This National Hispanic Heritage Month, we have a lot to celebrate. We recognize that Hispanic culture is American culture. But, we also have a lot to do. And I’m proud to be a partner in the important work ahead. https://t.co/9b4MsnlHMg",1402,8145
1442901419040800771,2021-09-28 17:18:00+00:00,The American people sent a clear message at the polls last November. We need to meet this moment and deliver.   We need to pass the Bipartisan Infrastructure Deal and my Build Back Better Agenda.,3812,22325
1442892200312905742,2021-09-28 16:41:22+00:00,"It was an honor to host the first-ever in-person Quad Leaders’ Summit. We’re committed to our partnership and to an Indo-Pacific region that is free, open, inclusive, and resilient. https://t.co/W2HL58Jc0j",4200,21598
1442878979917156354,2021-09-28 15:48:50+00:00,Get vaccinated.  It can save your life.  It can save the lives of those around you. https://t.co/STZDwniBD5,2365,15190
1442839893860888580,2021-09-28 13:13:32+00:00,"From health care to child care, my Build Back Better Agenda will lower everyday costs for middle class Americans. https://t.co/eqzWKmw1wy",1289,6239
1442629979511169031,2021-09-27 23:19:24+00:00,"The COVID-19 booster shots will provide even more protection from COVID-19 for those who are at greater risk. That’s why today, I got my booster — and encourage everyone who’s eligible to do so as well. https://t.co/XO4l3XxgLG",2703,24082
1442610517017653252,2021-09-27 22:02:04+00:00,Poll after poll makes it clear: The majority of Americans overwhelmingly support my Build Back Better Agenda.   Let’s get it done and deliver for the American people. https://t.co/uptz12TQmP,2811,13130
1442595718762536964,2021-09-27 21:03:16+00:00,"Getting your COVID-19 vaccine is easy, accessible, and free.   Text your zip code to 438829 or visit https://t.co/4MYpWqXVVo to find a vaccination location near you.   We can do this. Get vaccinated.",1032,4669
1442573157362290689,2021-09-27 19:33:37+00:00,We can’t just build back to the way things were before the pandemic — we need to build back better.   It’s what the American people elected us to do. And it’s why we need to pass the Bipartisan Infrastructure Deal and my Build Back Better Agenda.,2987,18443
1442561593364017154,2021-09-27 18:47:40+00:00,The idea that 50 major corporations — making a total of $40 billion — pay nothing in taxes is just plain wrong. https://t.co/EZG6kjOmN9,2491,11513
1442545888631693315,2021-09-27 17:45:15+00:00,"If you got the Pfizer vaccine in January, February, or March — and you are over 65, have a medical condition, or work in a frontline job — you can go get your booster.    They will be available in 80,000 locations, including at over 40,000 pharmacies nationwide.",5792,33076
1442536204302307334,2021-09-27 17:06:46+00:00,Tune in as I deliver remarks and receive my COVID-19 booster shot.  https://t.co/GurbbWdrvF,1007,6229
1442495571986583558,2021-09-27 14:25:19+00:00,I’ll be getting my COVID-19 booster shot — and I encourage everyone who’s eligible to get theirs as well. https://t.co/l6Gmo0G8OO,2504,17419
1442475915322314753,2021-09-27 13:07:12+00:00,Hardworking Americans shouldn’t be paying more in taxes than giant corporations. It needs to end.,3475,23435
1442284014363189248,2021-09-27 00:24:40+00:00,"I give you my word as a Biden: If you make under $400,000 a year, I’ll never raise your taxes one cent.   But, I’m going to make those at the top start to pay their share in taxes.   It’s only fair.",7108,59831
1442255128271097860,2021-09-26 22:29:53+00:00,"The families of our fallen men and women in uniform understand the true and painful price of freedom — coping with loss and unspeakable grief. Today, on Gold Star Mother’s and Family’s Day, we recognize their enduring pain and honor their resilience.",3460,22190
1442203586709106689,2021-09-26 19:05:04+00:00,We’re building an economy where everyone has a fair shot to get ahead — not just those at the top. https://t.co/BtRVKN6kOT,1985,13517
1442158271763083271,2021-09-26 16:05:00+00:00,"We’re going to pass a historic middle class tax cut — and we’ll do it by making those at the top pay their fair share.   I know the crowd on Park Ave might not like it, but it’s time we give people in towns like Scranton — the folks I grew up with — a break for a change.",6315,42757
1442134932399083529,2021-09-26 14:32:16+00:00,When I think of climate change — I think jobs. These union workers are leading on the technologies that will help us lead the world and tackle the climate crisis head-on. https://t.co/3tSWnnz4yD,2008,12180
1441924106765602819,2021-09-26 00:34:31+00:00,"My Build Back Better Agenda costs zero dollars.    Instead of wasting money on tax breaks, loopholes, and tax evasion for big corporations and the wealthy, we can make a once-in-a-generation investment in working America.   And it adds zero dollars to the national debt.",7451,40025
1441826083742040065,2021-09-25 18:05:00+00:00,"As we continue our economic recovery, we have a fundamental question to answer:   Are we going to continue with an economy where the rich just get richer? Or are we finally going to give working families — the folks that built this country — a leg up?   I know my answer.",4610,25992
1441776273102082056,2021-09-25 14:47:05+00:00,We can’t just build back to the way things were before the pandemic. We have to build back better.   We’re building an economy where everyone has a fair shot — not just those at the top.,4715,35192
1441568171106971648,2021-09-25 01:00:09+00:00,"If you got the Pfizer vaccine in January, February, or March — and you are over 65, have a medical condition, or work in a frontline job — you can go get your booster.   They will be available in 80,000 locations, including at over 40,000 pharmacies nationwide. https://t.co/XT5oiTCedV",3168,15105
1441543929455853568,2021-09-24 23:23:50+00:00,"It was an honor to host the Prime Ministers of Australia, India, and Japan this afternoon for the first-ever in-person Quad Leaders Summit. We share a common vision for the future, and we’re coming together to meet the key challenges of the 21st century. https://t.co/OQYRvzkqeQ",4543,31046
1441516898672209926,2021-09-24 21:36:25+00:00,"This morning, I hosted Prime Minister Modi at the White House as we launch a new chapter in the history of U.S.-India ties. Our two nations are the largest democracies in the world, and we’re committed to taking on the toughest challenges we face — together. https://t.co/uO97X1upFn",5323,34953
1441508761630228485,2021-09-24 21:04:05+00:00,"Last night, the White House was lit up gold for National Childhood Cancer Awareness Month. The fight against cancer is personal for my family — like it is for millions of others. As president, I’ll continue to invest in critical research and care to end cancer as we know it. https://t.co/k4W4U50RS2",1410,9101
1441488215899197440,2021-09-24 19:42:26+00:00,"I'm heartbroken by the treatment of Haitian migrants at our border — and I acknowledge it is only the latest of many historic indignities that Haitians have faced. We will continue to offer assistance and investigate wrongdoing. I remain committed, as ever, to Haiti's future. https://t.co/Cu1TlqF4EA",2306,12835
1441418775174258689,2021-09-24 15:06:30+00:00,"This morning I’m hosting Indian Prime Minister Narendra Modi at the White House for a bilateral meeting. I look forward to strengthening the deep ties between our two nations, working to uphold a free and open Indo-Pacific, and tackling everything from COVID-19 to climate change.",8008,53009
1441409994365095949,2021-09-24 14:31:37+00:00,"The majority of Americans who were fully vaccinated with Pfizer can receive a booster shot at least 6 months after their second shot. This includes people over 65, those with underlying medical conditions, and those in frontline jobs.",4323,30256
1441401732458819584,2021-09-24 13:58:47+00:00,Tune in as I deliver remarks on our COVID-19 response and vaccination program. https://t.co/P8ydsaKBFV,823,4591
1441184106549690369,2021-09-23 23:34:01+00:00,My Build Back Better Agenda will restore some semblance of fairness to our tax system. Because no teacher or firefighter should be paying more in taxes than an entire oil company.   It’s got to change.,4286,25939
1441154416476921858,2021-09-23 21:36:02+00:00,It’s time we give the middle class a tax break for a change. The hardworking Americans who get up every single day and make this country run.   That’s what my Build Back Better Agenda is all about.,4282,30373
1441131759567982601,2021-09-23 20:06:01+00:00,"Folks, I don’t want to punish anyone’s success. But those at the top have been getting a free ride for far too long.  We’re going to change that.",12055,106169
1441113039219036166,2021-09-23 18:51:37+00:00,You pay your share in taxes. It’s long past time the super-wealthy pay theirs as well. https://t.co/8vXxRxvhfE,2187,12099
1441087802569936899,2021-09-23 17:11:20+00:00,My Build Back Better Agenda means:    - A historic middle class tax break - Lower health care and child care costs - Free community college - Universal preschool   And we’ll pay for it by ensuring those at the top pay their fair share in taxes.,4028,21783
1441047200625090573,2021-09-23 14:30:00+00:00,"It’s simple: The wealthy don’t need another tax break, the middle class does.   That’s why we’re going to ensure the wealthy and large corporations pay their fair share and then use that money to give one of the largest middle class tax breaks in history.",6097,38564
1440858017122197504,2021-09-23 01:58:15+00:00,"Today I had three productive meetings with congressional Democrats to hear their perspectives and make progress in passing the Build Back Better Act and Bipartisan Infrastructure Deal. There’s more work to be done, but I’m committed to delivering for the middle class.",3954,27594
1440837982160769024,2021-09-23 00:38:39+00:00,"Instead of continuing to fight the wars of the past, we are focusing on the challenges that hold the keys to our future. https://t.co/Pdh9v5yqMD",1398,8726
1440794506652110848,2021-09-22 21:45:53+00:00,I’m sick and tired of the super-wealthy and giant corporations not paying their fair share in taxes.   It’s time for it to change.,13235,94170
1440772872448798723,2021-09-22 20:19:55+00:00,Let’s put this pandemic behind us. Get vaccinated.,12452,102105
1440756785057468419,2021-09-22 19:16:00+00:00,"Today I spoke with President Emmanuel Macron of France, and reaffirmed the importance of French and European engagement in the Indo-Pacific region. I look forward to a process of in-depth consultations and to meeting with him in October. https://t.co/MouVMCBgDR",1592,11543
1440728112170340360,2021-09-22 17:22:04+00:00,"As we fight COVID-19 here at home, we need to continue our efforts overseas. That’s why today, I announced we’re increasing our total vaccine donation to over 1.1 billion doses — more than every other country combined.   That’s American leadership on the global stage.",3744,27037
1440718421390282753,2021-09-22 16:43:33+00:00,We are committed to working with our partners and allies to build a more prosperous future for all people. https://t.co/o50rOqEHXc,1090,6337
1440666857724252160,2021-09-22 13:18:39+00:00,"Instead of continuing to fight the wars of the past, we are fixing our eyes on — and devoting our resources to — the challenges that hold the keys to our future: ending the pandemic, the climate crisis, emerging technology, and the threat of terrorism as it stands today.",3220,20886
1440487517149532164,2021-09-22 01:26:01+00:00,It was an honor to welcome United Kingdom Prime Minister Boris Johnson to the White House this afternoon. The bond between our two nations is ironclad and we’re committed to working together on everything from climate change to COVID-19 in the years ahead. https://t.co/ldr0NzzWYN,2147,21012
1440408769456791552,2021-09-21 20:13:06+00:00,It was great to meet with Australian Prime Minister Scott Morrison today in New York. Our nations have stood together for over 70 years — and we’re committed to working together to secure a free and open Indo-Pacific region and tackle the shared challenges we face. https://t.co/SNGCQSy3H9,1520,10984
1440394460710391814,2021-09-21 19:16:15+00:00,"From extreme storms to relentless wildfires, we’re witnessing the devastating impact of climate change every day.  We need to act. We need to pass my Build Back Better Agenda. https://t.co/Ooms6iHAPs",1636,6995
1440379663411343364,2021-09-21 18:17:27+00:00,"It was an honor to address the UN General Assembly this morning. We stand at an inflection point in history, and the United States is committed to working with our allies and partners to tackle the greatest challenges of our time.  We will build a better future — together. https://t.co/M7xAx72PqE",3084,21718
1440340140187009031,2021-09-21 15:40:24+00:00,"Here at the dawning of what must be a decisive decade for our world, our global community is challenged by urgent and looming crises. But in those crises lie enormous opportunities, if we can summon the will and resolve to seize them.   We stand at an inflection point in history.",1966,11673
1440315218005880843,2021-09-21 14:01:22+00:00,Tune in as I deliver remarks before the 76th Session of the United Nations General Assembly. https://t.co/3i8ONT13G7,1329,6366
1440310494871515143,2021-09-21 13:42:36+00:00,In New York for the UN General Assembly. Let’s get to work. https://t.co/LeszRZGmuN,2183,24330
1440295929983078402,2021-09-21 12:44:43+00:00,It’s not enough just to build back to the way things were before the pandemic – it’s time to build back better. https://t.co/gT6WiV1Eaj,1784,10058
1440135291843534848,2021-09-21 02:06:24+00:00,"As I said during tonight’s meeting with UN Secretary General António Guterres: global challenges require global solutions. We believe in the United Nations and its value. And at this moment, our bond — based on common values and principles — is more important than ever. https://t.co/H7G1GAXopQ",1782,10235
1440089176230088712,2021-09-20 23:03:09+00:00,It’s time we reward work in this country — not just wealth.,8402,73040
1440068616511123457,2021-09-20 21:41:28+00:00,"I’m not looking to punish anyone, I just think it’s only fair that the wealthiest Americans pay their fair share once again. Then, we’ll use that money to invest in the middle class. https://t.co/xZYMMUo5yi",3558,18598
1440053936551981063,2021-09-20 20:43:08+00:00,"I applaud this plan from @SpeakerPelosi and @SenSchumer to keep the government open, provide disaster relief, and avoid catastrophic default.   This is a bipartisan responsibility, just as it was under my predecessor. Blocking it would be inexcusable. https://t.co/qDBwMs6DBx",2248,10133
1440022155295592452,2021-09-20 18:36:50+00:00,"This afternoon, I’m heading to New York for the 76th session of the United Nations General Assembly. I look forward to strengthening our global partnerships, working with our allies to tackle our shared challenges, and making clear that America is back.",2308,18105
