id,created_at,text,rt_count,fav_count,english
1117896918267383810,2019-04-15 21:06:09+00:00,I fondly remember standing outside Notre Dame with Jen almost 30 years ago. So sad to see this beautiful cathedral in flames this morning. Our thoughts are with the people of France and emergency services who are fighting this fire. They will rebuild as Parisians always do.,66,560,I fondly remember standing outside Notre Dame with Jen almost 30 years ago. So sad to see this beautiful cathedral in flames this morning. Our thoughts are with the people of France and emergency services who are fighting this fire. They will rebuild as Parisians always do. 
1117206255112613888,2019-04-13 23:21:42+00:00,"Getting young people into work is a game changer. That why we’re committing to 250,000 extra jobs for young Australians over the next 5 years. That’s my pledge. Great to meet some young achievers with @LukeHowarthMP in Petrie this morning - some impressive stories. https://t.co/Nrft5tQ7ta",57,305,"Getting young people into work is a game changer. That why we’re committing to 250,000 extra jobs for young Australians over the next 5 years. That’s my pledge. Great to meet some young achievers with @LukeHowarthMP in Petrie this morning - some impressive stories. https://t.co/Nrft5tQ7ta "
1116626191023128579,2019-04-12 08:56:44+00:00,"Small and family businesses are the engine room of our economy. We’re backing them in, so we can continue to drive the economy forward. That’s what delivers more jobs and ensures we fund the essential services Australians rely on. https://t.co/XJRzZuqVDN",84,420,"Small and family businesses are the engine room of our economy. We’re backing them in, so we can continue to drive the economy forward. That’s what delivers more jobs and ensures we fund the essential services Australians rely on. https://t.co/XJRzZuqVDN "
1116542297284329473,2019-04-12 03:23:22+00:00,"We’re busting congestion in Western Sydney, &amp; across the country, to manage population growth by investing in building new roads &amp; rail, like the Mulgoa Rd upgrade in Penrith I visited today. It’s part of our $100b infrastructure plan to help get  Australians home sooner &amp; safer. https://t.co/WLiI7765JX",41,165,"We’re busting congestion in Western Sydney, &amp; across the country, to manage population growth by investing in building new roads &amp; rail, like the Mulgoa Rd upgrade in Penrith I visited today. It’s part of our $100b infrastructure plan to help get  Australians home sooner &amp; safer. https://t.co/WLiI7765JX "
1116309727196041216,2019-04-11 11:59:13+00:00,"We live in the best country in the world. But to secure your future, the road ahead depends on a strong economy. We have a plan to make Australia stronger and on 18 May, Australians will have the opportunity to back that plan as we’re backing them #BuildingOurEconomy https://t.co/JBwevZ4Ywq",95,423,"We live in the best country in the world. But to secure your future, the road ahead depends on a strong economy. We have a plan to make Australia stronger and on 18 May, Australians will have the opportunity to back that plan as we’re backing them #BuildingOurEconomy https://t.co/JBwevZ4Ywq "
1116111526815879170,2019-04-10 22:51:38+00:00,"Our plan will build our economy, without increasing taxes, securing the future for all Australians. #BuildingOurEconomy https://t.co/Ao8p6WPeDb",86,276,"Our plan will build our economy, without increasing taxes, securing the future for all Australians. #BuildingOurEconomy https://t.co/Ao8p6WPeDb "
1116100885468160000,2019-04-10 22:09:21+00:00,"At this election there is a clear choice. It is a choice that will determine the economy that Australians live in, not just for the next 3 years, but the next decade. #BuildingOurEconomy",135,670,"At this election there is a clear choice. It is a choice that will determine the economy that Australians live in, not just for the next 3 years, but the next decade. #BuildingOurEconomy "
1116100130908721154,2019-04-10 22:06:22+00:00,"We live in the best country in the world. To secure your future, the road ahead depends on a strong economy. #BuildingOurEconomy",56,300,"We live in the best country in the world. To secure your future, the road ahead depends on a strong economy. #BuildingOurEconomy "
1116100051070177280,2019-04-10 22:06:02+00:00,This morning I visited the Governor-General to advise him to call an election on 18 May. https://t.co/jEunOOBxwR,166,467,This morning I visited the Governor-General to advise him to call an election on 18 May. https://t.co/jEunOOBxwR 
1115925058474500097,2019-04-10 10:30:41+00:00,I’m proud of how far our country has come over the past few years. And I know there is still more work for us to do to make life better for all Australians. My vision for Australia is about everyone having the chance to realise their full potential. https://t.co/KJyRSj6zPz,271,1231,I’m proud of how far our country has come over the past few years. And I know there is still more work for us to do to make life better for all Australians. My vision for Australia is about everyone having the chance to realise their full potential. https://t.co/KJyRSj6zPz 
1115782482832441345,2019-04-10 01:04:08+00:00,"We’re focused on improving the health of all Australians. Our latest action is to announce today we’ll invest $92m to support better healthcare for Tasmanians, to improve elective surgery waiting times, boost mental health &amp; maternity services &amp; increase cancer diagnosis scans. https://t.co/N1ikUDJFRu",32,169,"We’re focused on improving the health of all Australians. Our latest action is to announce today we’ll invest $92m to support better healthcare for Tasmanians, to improve elective surgery waiting times, boost mental health &amp; maternity services &amp; increase cancer diagnosis scans. https://t.co/N1ikUDJFRu "
1115443241904508928,2019-04-09 02:36:07+00:00,"New economic data shows 110,000 first home buyers in the past year. Over 275,000 since the last election. First home buyers as a share of the market up 5 percentage points since the last election. #BuildingOurEconomy",43,181,"New economic data shows 110,000 first home buyers in the past year. Over 275,000 since the last election. First home buyers as a share of the market up 5 percentage points since the last election. #BuildingOurEconomy "
1115419803571838976,2019-04-09 01:02:59+00:00,"Great to be on the Central Coast this morning with @LucyWicksMP @SenatorCash &amp; our new Liberal candidate for Dobell Jilly Pilon. Enjoyed meeting &amp; chatting with new mechanical apprentices in Gosford, who are benefiting from a stronger economy on the Central Coast. https://t.co/x6DzDbPts5",17,93,"Great to be on the Central Coast this morning with @LucyWicksMP @SenatorCash &amp; our new Liberal candidate for Dobell Jilly Pilon. Enjoyed meeting &amp; chatting with new mechanical apprentices in Gosford, who are benefiting from a stronger economy on the Central Coast. https://t.co/x6DzDbPts5 "
1114757409543614464,2019-04-07 05:10:52+00:00,Our $200m investment in a 3rd crossing over the Hawkesbury River in NSW in #Budget2019 will get people home sooner &amp; safer. Our @LiberalAus candidate for Macquarie Sarah Richards fought hard for this project &amp; it was great to be with her &amp; @MarisePayne to announce the details. https://t.co/rZFy3gXv0y,40,182,Our $200m investment in a 3rd crossing over the Hawkesbury River in NSW in #Budget2019 will get people home sooner &amp; safer. Our @LiberalAus candidate for Macquarie Sarah Richards fought hard for this project &amp; it was great to be with her &amp; @MarisePayne to announce the details. https://t.co/rZFy3gXv0y 
1114417122254311424,2019-04-06 06:38:41+00:00,Great fun at the 1st grade rugby union season opener in my home electorate of Cook this afternoon. Enjoyed meeting all the kids &amp; their families there. https://t.co/9br5SW2dni,31,226,Great fun at the 1st grade rugby union season opener in my home electorate of Cook this afternoon. Enjoyed meeting all the kids &amp; their families there. https://t.co/9br5SW2dni 
1113933239981203456,2019-04-04 22:35:54+00:00,"Violence, abuse, neglect and exploitation of people living with a disability is unacceptable and cannot be tolerated. It must be acknowledged, confronted and dealt with. That’s why today I’ve announced a Royal Commission into the abuse of Australians living with a disability. https://t.co/M0pFPhg54F",58,241,"Violence, abuse, neglect and exploitation of people living with a disability is unacceptable and cannot be tolerated. It must be acknowledged, confronted and dealt with. That’s why today I’ve announced a Royal Commission into the abuse of Australians living with a disability. https://t.co/M0pFPhg54F "
